Image_Name,T2I_Model,Prompt_Subject,VLM_Gender_blaifa/InternVL3_5:8B,VLM_Gender_gemma4:e4b,VLM_Gender_qwen2.5vl:7b,VLM_MST_blaifa/InternVL3_5:8B,VLM_MST_gemma4:e4b,VLM_MST_qwen2.5vl:7b,VLM_Race_blaifa/InternVL3_5:8B,VLM_Race_gemma4:e4b,VLM_Race_qwen2.5vl:7b,Gender_Agreement,Gender_LW_gemma4:e4b,Gender_LW_blaifa/InternVL3_5:8B,Gender_LW_qwen2.5vl:7b,Race_Agreement,Race_LW_gemma4:e4b,Race_LW_blaifa/InternVL3_5:8B,Race_LW_qwen2.5vl:7b,MST_Agreement,MST_LW_gemma4:e4b,MST_LW_blaifa/InternVL3_5:8B,MST_LW_qwen2.5vl:7b
base_beautiful_seed101_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed101_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,5,Indian,White,White,Full Consensus,False,False,False,Majority,False,True,False,Majority,True,False,False
base_beautiful_seed101_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,2,6,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed101_crop.png,sd35,base_beautiful,Woman,Woman,Woman,5,2,5,Indian,Asian,White,Full Consensus,False,False,False,Total Divergence,False,False,False,Majority,True,False,False
base_beautiful_seed101_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,3,5,White,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Majority,True,False,False
base_beautiful_seed102_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed102_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,6,Indian,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed102_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,3,6,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed102_crop.png,sd35,base_beautiful,Woman,Woman,Woman,5,2,6,White,Asian,White,Full Consensus,False,False,False,Majority,True,False,False,Total Divergence,False,False,False
base_beautiful_seed102_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed103_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,3,6,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed103_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,6,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed103_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,3,6,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed103_crop.png,sd35,base_beautiful,Woman,Woman,Woman,5,4,6,Middle Eastern,Latino Hispanic,Asian,Full Consensus,False,False,False,Total Divergence,False,False,False,Total Divergence,False,False,False
base_beautiful_seed103_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,3,5,Indian,Indian,Asian,Full Consensus,False,False,False,Majority,False,False,True,Majority,True,False,False
base_beautiful_seed104_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,2,6,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed104_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,6,Indian,White,White,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed104_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed104_crop.png,sd35,base_beautiful,Woman,Woman,Woman,5,3,6,Middle Eastern,Middle Eastern,White,Full Consensus,False,False,False,Majority,False,False,True,Total Divergence,False,False,False
base_beautiful_seed104_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,4,6,Middle Eastern,Indian,Asian,Full Consensus,False,False,False,Total Divergence,False,False,False,Total Divergence,False,False,False
base_beautiful_seed105_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,2,6,Middle Eastern,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed105_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,5,Middle Eastern,White,White,Full Consensus,False,False,False,Majority,False,True,False,Majority,True,False,False
base_beautiful_seed105_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,3,6,Middle Eastern,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed105_crop.png,sd35,base_beautiful,Woman,Woman,Woman,5,3,6,Middle Eastern,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed105_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed106_crop.png,flux,base_beautiful,Woman,Woman,Woman,3,3,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,False,False,True
base_beautiful_seed106_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,6,Indian,White,White,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed106_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,3,6,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed106_crop.png,sd35,base_beautiful,Woman,Woman,Woman,4,6,7,Black,Black,Black,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed106_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,3,6,Middle Eastern,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed107_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,3,6,Indian,White,White,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed107_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,5,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed107_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,2,5,Indian,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Majority,True,False,False
base_beautiful_seed107_crop.png,sd35,base_beautiful,Woman,Woman,Woman,4,5,6,Black,Black,Black,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed107_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed108_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,2,5,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed108_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,5,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed108_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,2,5,White,Asian,Asian,Full Consensus,False,False,False,Majority,False,True,False,Majority,True,False,False
base_beautiful_seed108_crop.png,sd35,base_beautiful,Woman,Woman,Woman,5,5,8,Black,Black,Black,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,False,False,True
base_beautiful_seed108_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed109_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed109_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,6,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed109_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,2,6,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed109_crop.png,sd35,base_beautiful,Woman,Woman,Woman,5,2,6,White,White,Asian,Full Consensus,False,False,False,Majority,False,False,True,Total Divergence,False,False,False
base_beautiful_seed109_crop.png,zimage,base_beautiful,Man,Man,Man,5,2,3,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed110_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,3,6,White,White,White,Full Consensus,False,False,False,Full Consensus,False,False,False,Total Divergence,False,False,False
base_beautiful_seed110_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,6,Middle Eastern,Latino Hispanic,White,Full Consensus,False,False,False,Total Divergence,False,False,False,Total Divergence,False,False,False
base_beautiful_seed110_crop.png,qwen,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed110_crop.png,sd35,base_beautiful,Woman,Woman,Woman,6,6,8,Black,Black,Black,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,False,False,True
base_beautiful_seed110_crop.png,zimage,base_beautiful,Woman,Woman,Woman,5,3,6,Middle Eastern,White,White,Full Consensus,False,False,False,Majority,False,True,False,Total Divergence,False,False,False
base_beautiful_seed111_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,2,5,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed111_crop.png,flux_klein,base_beautiful,Woman,Woman,Woman,5,3,5,Middle Eastern,Latino Hispanic,White,Full Consensus,False,False,False,Total Divergence,False,False,False,Majority,True,False,False
base_beautiful_seed111_crop.png,qwen,base_beautiful,Woman,Woman,Woman,3,3,6,Asian,Asian,Asian,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,False,False,True
base_beautiful_seed111_crop.png,sd35,base_beautiful,Man,Man,Man,6,5,6,Black,Black,Black,Full Consensus,False,False,False,Full Consensus,False,False,False,Majority,True,False,False
base_beautiful_seed111_crop.png,zimage,base_beautiful,Woman,Woman,Woman,3,3,5,Indian,White,White,Full Consensus,False,False,False,Majority,False,True,False,Majority,False,False,True
base_beautiful_seed112_crop.png,flux,base_beautiful,Woman,Woman,Woman,5,3,5,Indian,White,Asian,Full Consensus,False,False,False,Total Divergence,False,False,False,Majority,True,False,False
