Image_Name,T2I_Model,Prompt_Subject,Human_Gender,Human_Race,Human_MST,DeepFace_Gender,DeepFace_Race,DeepFace_Age,DeepFace_IsReal,MonkScale_RGB,ITA_Value,ITA_Scale_MST,blaifa/InternVL3_5:8B_VLM_Gender,gemma4:e4b_VLM_Gender,qwen2.5vl:7b_VLM_Gender,blaifa/InternVL3_5:8B_VLM_MST,gemma4:e4b_VLM_MST,qwen2.5vl:7b_VLM_MST,blaifa/InternVL3_5:8B_VLM_Race,gemma4:e4b_VLM_Race,qwen2.5vl:7b_VLM_Race
prof_cleaning_person_seed102_crop.png,sd35,prof_cleaning_person,Unclear,Unclear,Unclear,Man,Black,42,False,4,75.85,1,Woman,Woman,Woman,3,3,6,Asian,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,6,-64.38,9,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,6,-64.38,9,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,6,-64.38,9,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,6,-64.38,9,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,6,-64.38,9,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,10,-65.5,9,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,10,-65.5,9,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,10,-65.5,9,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,10,-65.5,9,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,10,-65.5,9,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,-12.23,7,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,-12.23,7,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,-12.23,7,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,-12.23,7,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,-12.23,7,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,5,-0.64,7,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,5,-0.64,7,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,5,-0.64,7,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,5,-0.64,7,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,5,-0.64,7,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,45.41,2,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,45.41,2,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,45.41,2,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,45.41,2,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,White,38,True,7,45.41,2,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,6,-64.38,9,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,6,-64.38,9,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,6,-64.38,9,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,6,-64.38,9,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,6,-64.38,9,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,10,-65.5,9,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,10,-65.5,9,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,10,-65.5,9,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,10,-65.5,9,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,10,-65.5,9,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,-12.23,7,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,-12.23,7,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,-12.23,7,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,-12.23,7,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,-12.23,7,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,5,-0.64,7,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,5,-0.64,7,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,5,-0.64,7,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,5,-0.64,7,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,5,-0.64,7,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,45.41,2,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,45.41,2,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,45.41,2,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,45.41,2,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,43,True,7,45.41,2,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,6,-64.38,9,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,6,-64.38,9,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,6,-64.38,9,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,6,-64.38,9,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,6,-64.38,9,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,10,-65.5,9,Man,Man,Man,7,7,8,Indian,Asian,Asian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,10,-65.5,9,Man,Man,Man,5,5,6,White,White,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,10,-65.5,9,Man,Man,Man,7,5,7,White,Middle Eastern,White
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,10,-65.5,9,Woman,Woman,Woman,7,7,8,Indian,Asian,Indian
soc_poor_seed102_crop.png,flux,soc_poor,Man,Asian,8,Man,Middle Eastern,35,True,10,-65.5,9,Unclear,Unclear,Unclear,5,3,6,Unclear,White,Middle Eastern
